Coluna1,Coluna2,Coluna3,Coluna4,Coluna5,Coluna6
004,005,030,033,041,052
009,037,039,041,043,049
010,011,029,030,036,047
001,005,006,027,042,059
001,002,006,016,019,046
007,013,019,022,040,047
003,005,020,021,038,056
004,017,037,038,047,053
008,043,054,055,056,060
004,018,021,025,038,057
015,025,037,038,058,059
004,016,019,020,027,043
018,032,047,050,054,056
002,016,023,027,047,053
012,033,035,051,052,060
020,032,034,049,058,060
006,010,013,019,020,051
023,027,036,037,042,056
005,010,012,024,025,060
011,025,028,030,033,051
006,033,036,046,049,053
001,009,031,038,046,056
017,037,039,051,052,059
001,008,014,028,033,043
024,043,050,054,055,056
010,022,050,053,057,058
013,017,020,033,044,051
003,006,022,024,054,060
003,008,014,043,056,058
007,014,015,029,038,050
017,019,028,045,048,056
005,014,033,036,043,044
005,017,033,039,042,049
013,015,017,040,053,057
004,016,021,023,054,057
003,013,017,025,029,051
006,007,022,038,052,060
010,042,043,045,054,055
012,016,037,045,052,056
003,005,008,012,046,047
012,026,035,038,039,047
007,011,019,024,033,036
002,006,017,025,026,058
014,018,029,038,044,047
007,030,037,044,053,055
001,023,024,032,046,060
003,017,025,035,048,056
002,005,028,034,047,050
007,013,033,035,043,055
006,016,021,044,057,058
017,023,024,025,042,047
015,030,038,046,058,059
003,013,016,038,042,046
005,009,018,021,036,056
002,014,023,029,038,052
002,007,020,035,051,059
007,016,017,027,034,059
012,027,030,037,044,049
002,008,013,028,034,054
003,014,015,020,021,038
008,018,029,042,044,059
006,008,013,024,031,052
009,025,026,040,041,049
008,012,023,050,054,060
001,005,020,025,032,034
012,013,015,026,033,048
012,014,017,027,047,052
001,003,012,013,053,059
025,034,045,053,056,058
017,023,027,040,043,058
016,027,033,043,045,053
001,019,034,043,044,048
025,026,028,045,051,057
002,024,034,037,038,050
021,024,035,036,037,049
008,017,018,023,033,053
021,029,040,049,054,057
012,022,025,031,032,046
002,013,017,025,031,043
023,028,037,040,048,051
010,023,041,047,054,060
015,018,029,036,051,053
004,015,016,024,042,057
004,006,010,025,034,040
006,015,030,037,045,047
006,021,022,034,036,054
004,005,011,028,032,040
004,018,029,037,043,045
013,034,042,044,055,059
009,021,026,040,052,054
002,004,010,035,039,060
001,003,005,023,024,051
002,022,028,031,036,053
008,018,028,051,052,055
006,040,045,046,050,060
004,007,026,040,042,058
005,011,014,035,053,056
013,014,031,033,035,043
011,024,030,033,046,060
014,029,030,046,048,051
001,018,029,031,037,039
019,020,037,042,044,056
001,007,009,049,054,057
001,004,013,021,038,052
003,013,031,043,046,049
005,016,024,035,038,039
002,004,016,024,051,052
021,024,029,034,059,060
001,013,044,048,049,054
018,031,043,052,057,058
004,022,025,032,033,052
012,020,034,037,042,043
007,026,028,034,054,055
006,012,018,037,047,054
004,006,014,020,024,038
005,013,032,036,042,051
020,025,027,033,042,053
009,022,025,037,056,057
001,021,036,038,047,050
003,016,027,040,045,046
002,029,041,044,053,055
011,017,020,039,043,053
013,014,016,026,032,042
005,015,034,041,052,057
025,041,047,053,056,059
006,010,011,028,032,040
021,029,050,051,054,059
003,009,018,021,023,043
001,009,010,032,046,054
013,029,038,042,049,053
004,009,017,027,030,044
007,009,035,041,044,050
005,006,019,034,039,057
004,025,032,036,052,060
021,022,035,040,053,059
001,017,025,038,045,059
015,016,019,022,026,049
005,014,027,037,040,041
003,013,026,027,041,042
007,031,041,044,046,055
010,013,022,041,042,058
008,015,019,020,054,059
006,018,020,040,050,053
008,032,036,044,045,055
015,016,031,041,043,051
025,032,034,042,051,060
006,016,023,024,028,038
032,035,041,055,058,059
007,011,020,028,045,048
012,044,050,052,054,055
003,016,020,043,052,056
005,012,015,029,051,058
002,030,031,042,045,047
008,010,024,033,045,048
012,030,032,035,043,044
017,023,042,049,052,055
004,013,017,021,041,044
004,014,017,043,051,058
009,011,016,035,050,058
002,013,042,052,054,058
006,025,030,037,039,041
021,023,033,038,048,051
008,027,036,041,053,056
004,010,014,019,028,044
010,019,023,035,039,056
012,013,022,057,059,060
001,011,028,033,038,048
002,009,031,035,045,050
001,013,021,037,051,052
007,041,046,051,055,058
004,027,040,043,046,054
010,014,026,035,036,049
017,028,029,042,049,050
011,022,023,036,052,059
001,010,013,020,042,050
001,003,004,028,045,053
022,035,038,039,041,059
005,015,019,026,027,033
005,006,023,026,027,053
006,023,029,039,051,060
001,027,033,035,051,055
003,005,010,028,046,060
002,007,011,016,040,044
009,016,021,034,041,060
017,022,043,046,055,059
014,023,024,025,026,051
006,036,041,044,048,058
017,027,034,042,043,046
004,015,031,038,041,053
005,010,021,032,040,042
001,003,005,023,041,058
001,026,028,041,054,060
004,011,012,019,043,049
025,028,032,033,042,043
003,009,017,032,037,044
007,009,014,017,024,032
005,012,015,019,029,052
001,008,018,023,035,040
010,016,037,050,052,057
012,015,019,034,044,051
005,020,022,030,035,055
012,024,044,045,049,053
011,019,029,044,047,055
029,031,039,041,051,058
026,032,040,043,046,054
018,020,026,034,051,056
003,007,019,024,053,055
015,023,024,025,047,057
013,021,026,032,041,052
020,032,037,038,048,058
010,020,033,040,045,050
006,015,029,045,057,059
003,009,023,030,032,035
006,012,030,031,035,050
007,028,037,046,053,058
014,018,030,035,042,059
003,027,032,045,049,051
012,017,040,042,047,054
023,026,028,036,042,049
013,014,036,053,055,060
013,027,043,050,054,058
005,019,030,048,052,055
002,006,022,024,028,058
007,016,018,020,021,044
002,004,016,021,037,058
001,002,038,049,050,059
011,026,027,037,042,048
013,016,040,043,045,059
011,013,021,033,039,045
008,040,041,044,053,056
016,027,036,042,044,059
019,022,029,037,041,059
003,007,024,032,036,045
015,025,041,042,045,054
002,022,029,031,041,055
010,025,050,052,057,060
007,031,036,045,056,057
009,013,015,037,041,042
006,021,033,044,046,047
025,028,038,041,057,059
011,031,035,040,056,057
004,007,021,022,028,056
011,016,020,023,032,047
019,024,033,047,050,060
008,027,044,051,053,060
002,016,032,037,043,057
003,010,023,030,034,046
016,032,034,035,041,056
021,036,040,049,054,055
007,025,041,042,043,055
015,023,030,034,049,055
004,017,026,032,051,054
011,012,024,037,044,056
001,004,021,022,030,056
016,019,020,032,044,055
002,021,026,032,034,052
001,004,005,019,028,034
007,012,050,054,055,060
013,015,020,033,043,058
004,006,033,043,059,060
005,016,020,030,054,056
011,020,048,053,058,060
008,009,026,043,050,053
001,005,013,025,031,033
007,016,034,041,050,053
002,023,038,046,048,054
001,008,045,046,055,058
005,006,010,021,033,047
017,018,019,025,049,052
005,009,027,035,040,045
014,024,026,029,031,054
009,010,024,036,056,058
010,017,023,027,047,052
011,013,018,026,039,047
016,019,030,037,038,048
022,039,045,053,057,059
004,026,038,040,052,056
010,015,018,022,031,055
004,023,031,047,058,059
005,016,020,025,030,058
005,011,031,038,047,053
009,014,023,024,033,036
025,028,034,042,048,054
007,008,014,030,032,036
012,032,037,041,050,056
029,035,037,044,047,056
003,013,025,033,047,060
006,009,011,017,018,050
006,007,020,025,030,036
007,025,026,030,040,057
005,016,017,018,022,041
013,023,024,034,045,053
005,006,007,012,028,035
022,025,028,041,045,057
007,012,024,031,044,050
003,020,042,046,051,052
001,020,028,033,036,041
005,022,023,024,034,060
002,005,007,033,049,053
024,027,028,038,041,057
009,026,048,049,057,058
012,025,030,040,041,060
